,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0,16/12/2006,17:24:00,4.216,0.418,234.84,18.4,0.0,1.0,17.0
1,16/12/2006,17:25:00,5.36,0.436,233.63,23.0,0.0,1.0,16.0
2,16/12/2006,17:26:00,5.374,0.498,233.29,23.0,0.0,2.0,17.0
3,16/12/2006,17:27:00,5.388,0.502,233.74,23.0,0.0,1.0,17.0
4,16/12/2006,17:28:00,3.6660000000000004,0.528,235.68,15.8,0.0,1.0,17.0
5,16/12/2006,17:29:00,3.52,0.522,235.02,15.0,0.0,2.0,17.0
6,16/12/2006,17:30:00,3.702,0.52,235.09,15.8,0.0,1.0,17.0
7,16/12/2006,17:31:00,3.7,0.52,235.22,15.8,0.0,1.0,17.0
8,16/12/2006,17:32:00,3.668,0.51,233.99,15.8,0.0,1.0,17.0
9,16/12/2006,17:33:00,3.662,0.51,233.86,15.8,0.0,2.0,16.0
10,16/12/2006,17:34:00,4.448,0.498,232.86,19.6,0.0,1.0,17.0
11,16/12/2006,17:35:00,5.412000000000001,0.47,232.78,23.2,0.0,1.0,17.0
12,16/12/2006,17:36:00,5.224,0.478,232.99,22.4,0.0,1.0,16.0
13,16/12/2006,17:37:00,5.268,0.39799999999999996,232.91,22.6,0.0,2.0,17.0
14,16/12/2006,17:38:00,4.053999999999999,0.42200000000000004,235.24,17.6,0.0,1.0,17.0
15,16/12/2006,17:39:00,3.384,0.282,237.14,14.2,0.0,0.0,17.0
16,16/12/2006,17:40:00,3.27,0.152,236.73,13.8,0.0,0.0,17.0
17,16/12/2006,17:41:00,3.43,0.156,237.06,14.4,0.0,0.0,17.0
18,16/12/2006,17:42:00,3.266,0.0,237.13,13.8,0.0,0.0,18.0
19,16/12/2006,17:43:00,3.728,0.0,235.84,16.4,0.0,0.0,17.0
20,16/12/2006,17:44:00,5.894,0.0,232.69,25.4,0.0,0.0,16.0
21,16/12/2006,17:45:00,7.706,0.0,230.98,33.2,0.0,0.0,17.0
22,16/12/2006,17:46:00,7.026,0.0,232.21,30.6,0.0,0.0,16.0
23,16/12/2006,17:47:00,5.1739999999999995,0.0,234.19,22.0,0.0,0.0,17.0
24,16/12/2006,17:48:00,4.474,0.0,234.96,19.4,0.0,0.0,17.0
25,16/12/2006,17:49:00,3.248,0.0,236.66,13.6,0.0,0.0,17.0
26,16/12/2006,17:50:00,3.236,0.0,235.84,13.6,0.0,0.0,17.0
27,16/12/2006,17:51:00,3.228,0.0,235.6,13.6,0.0,0.0,17.0
28,16/12/2006,17:52:00,3.258,0.0,235.49,13.8,0.0,0.0,17.0
29,16/12/2006,17:53:00,3.178,0.0,235.28,13.4,0.0,0.0,17.0
30,16/12/2006,17:54:00,2.72,0.0,235.06,11.6,0.0,0.0,17.0
31,16/12/2006,17:55:00,3.758,0.076,234.17,16.4,0.0,0.0,17.0
32,16/12/2006,17:56:00,4.342,0.09,233.77,18.4,0.0,0.0,16.0
33,16/12/2006,17:57:00,4.512,0.0,233.62,19.2,0.0,0.0,17.0
34,16/12/2006,17:58:00,4.058,0.2,234.68,17.6,0.0,0.0,17.0
35,16/12/2006,17:59:00,2.472,0.057999999999999996,236.94,10.4,0.0,0.0,17.0
36,16/12/2006,18:00:00,2.79,0.18,237.52,11.8,0.0,0.0,18.0
37,16/12/2006,18:01:00,2.6239999999999997,0.14400000000000002,238.2,11.0,0.0,0.0,17.0
38,16/12/2006,18:02:00,2.772,0.11800000000000001,238.28,11.6,0.0,0.0,17.0
39,16/12/2006,18:03:00,3.74,0.10800000000000001,236.93,16.4,0.0,16.0,18.0
40,16/12/2006,18:04:00,4.928,0.20199999999999999,235.01,21.0,0.0,37.0,16.0
41,16/12/2006,18:05:00,6.0520000000000005,0.192,232.93,26.2,0.0,37.0,17.0
42,16/12/2006,18:06:00,6.752000000000001,0.18600000000000003,232.12,29.0,0.0,36.0,17.0
43,16/12/2006,18:07:00,6.474,0.14400000000000002,231.85,27.8,0.0,37.0,16.0
44,16/12/2006,18:08:00,6.308,0.11599999999999999,232.25,27.0,0.0,36.0,17.0
45,16/12/2006,18:09:00,4.4639999999999995,0.136,234.66,19.0,0.0,37.0,16.0
46,16/12/2006,18:10:00,3.3960000000000004,0.14800000000000002,236.2,15.0,0.0,22.0,18.0
47,16/12/2006,18:11:00,3.09,0.152,237.07,13.8,0.0,12.0,17.0
48,16/12/2006,18:12:00,3.73,0.14400000000000002,235.78,16.4,0.0,27.0,17.0
49,16/12/2006,18:13:00,2.3080000000000003,0.16,237.43,9.6,0.0,1.0,17.0
50,16/12/2006,18:14:00,2.388,0.158,237.26,10.0,0.0,1.0,17.0
51,16/12/2006,18:15:00,4.598,0.1,234.25,21.4,0.0,20.0,17.0
52,16/12/2006,18:16:00,4.524,0.076,234.2,19.6,0.0,9.0,17.0
53,16/12/2006,18:17:00,4.202,0.08199999999999999,234.31,17.8,0.0,1.0,17.0
54,16/12/2006,18:18:00,4.4719999999999995,0.0,233.29,19.2,0.0,1.0,16.0
55,16/12/2006,18:19:00,2.852,0.0,235.61,12.0,0.0,1.0,17.0
