,Client name,Industry,Location,Position,Skillset,Interview Type,Gender,Current Location,Candidate Job Location,Interview Venue,Native,permission,meetings,Reminder,Alternate number,Resume printout & JD,Venue clear,Call letter shared,Expected Attendance,Observed Attendance,Marital Status
0,5,3,1,3,70,1,1,1,4,4,21,1,1,1,1,1,1,1,2,0,1
1,5,3,1,3,70,1,1,1,0,4,38,1,1,1,1,1,1,1,2,0,1
2,5,3,1,3,70,1,1,1,1,4,10,1,1,1,1,1,1,1,1,0,1
3,5,3,1,3,70,1,1,1,1,4,10,1,1,0,1,0,1,1,1,0,1
4,5,3,1,3,70,1,1,1,0,4,10,1,1,1,0,1,1,1,1,0,0
5,1,2,4,5,70,1,1,4,3,3,19,1,1,1,1,1,1,1,2,1,1
6,1,2,4,5,70,1,1,4,3,3,19,1,1,1,1,1,1,1,2,1,1
7,1,2,4,5,70,1,0,4,3,3,30,1,1,1,1,1,1,1,2,1,1
8,1,2,4,5,70,1,1,4,3,3,16,1,1,1,1,1,1,1,2,1,1
9,1,2,4,5,70,1,0,4,3,3,16,1,1,1,1,1,1,1,2,0,1
10,9,2,0,1,70,1,1,0,0,0,12,1,1,1,1,1,1,1,2,1,1
11,9,2,0,1,70,1,0,0,0,0,39,0,1,0,0,1,1,1,1,0,1
12,9,2,0,1,70,1,1,0,0,0,6,1,1,1,1,1,1,1,2,1,1
13,9,2,0,1,70,1,1,0,0,0,39,0,1,1,1,1,1,0,1,1,1
14,9,2,0,1,70,1,1,0,0,0,12,1,1,1,1,1,1,1,2,1,1
15,9,2,0,1,70,1,0,0,0,0,12,1,1,1,1,1,1,1,2,1,1
16,9,2,0,1,70,1,0,0,0,0,39,1,1,1,1,1,1,1,2,1,1
17,9,2,0,1,70,1,0,0,0,0,6,0,1,1,0,1,1,1,0,0,1
18,9,2,0,1,70,1,1,0,0,0,12,1,1,1,1,1,1,1,2,1,1
19,9,2,0,1,70,1,1,0,0,0,12,1,1,1,1,1,1,1,2,0,1
20,9,2,0,1,70,1,1,0,0,0,39,0,1,1,1,1,1,0,0,0,1
21,9,2,0,1,70,1,1,0,0,0,39,1,1,1,1,1,1,1,2,1,1
22,9,2,0,1,70,1,1,0,0,0,12,1,1,1,1,1,1,1,2,1,1
23,9,2,0,1,70,1,1,0,0,0,12,1,1,1,1,1,1,1,2,1,1
24,9,2,0,1,70,1,1,0,0,0,39,1,1,1,0,0,1,1,1,0,1
25,9,2,0,1,70,1,1,0,0,0,12,0,0,1,1,1,1,0,0,0,1
26,9,2,0,1,70,1,1,0,0,0,6,0,1,1,1,1,1,0,0,0,0
27,9,2,0,1,70,1,1,0,0,0,6,0,1,1,1,0,1,0,0,0,1
28,8,0,1,0,70,1,0,1,1,1,10,1,1,1,1,1,1,1,2,1,0
29,8,0,1,0,70,1,0,1,1,1,10,1,1,1,1,1,1,1,2,1,0
30,8,0,1,0,70,1,0,1,1,1,10,1,1,1,1,1,1,1,2,1,1
31,8,0,1,0,70,1,0,1,1,1,13,1,1,1,0,1,1,0,1,0,1
32,8,0,1,0,70,1,1,1,1,1,38,1,1,1,1,1,1,1,2,1,0
33,8,0,1,0,70,1,1,1,1,1,10,1,1,1,1,1,1,1,2,0,0
34,8,0,1,0,70,1,1,1,1,1,10,1,1,1,0,1,0,1,0,0,0
35,8,0,1,0,70,1,1,1,1,1,35,1,1,1,1,1,1,1,2,1,1
36,8,0,1,6,70,1,0,1,1,1,10,1,1,1,1,1,1,1,2,1,0
37,8,0,1,6,70,1,1,1,1,1,10,1,1,1,1,1,1,1,2,0,1
38,8,0,1,6,70,1,1,1,1,1,10,1,1,1,1,1,1,1,2,1,0
39,8,0,1,6,70,1,1,1,1,1,10,1,1,1,1,1,1,1,2,1,0
40,8,0,1,6,70,1,1,1,1,1,10,1,1,1,1,1,0,1,0,0,0
41,8,0,1,6,70,1,0,1,1,1,36,1,1,1,1,1,1,1,2,1,1
42,8,0,1,6,70,1,0,1,1,1,38,1,1,1,0,0,1,1,0,0,0
43,8,0,1,6,70,1,1,1,1,1,13,1,1,1,1,1,1,1,2,1,1
44,8,0,1,6,70,1,1,1,1,1,10,1,1,1,1,1,1,1,2,0,0
45,8,0,1,6,70,1,0,1,1,1,10,1,1,1,1,1,1,1,2,1,0
46,8,0,1,6,70,1,0,1,1,1,10,1,1,1,1,1,0,0,0,1,0
47,8,0,1,4,61,1,0,1,1,1,10,1,1,1,1,1,1,1,2,1,0
