C,degree,gamma,kernel,mean_test_Accuracy,std_test_Accuracy,mean_test_Precision,std_test_Precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_f2,std_test_f2,mean_test_f0.5,std_test_f0.5
0.01,2.0,3.19,poly,0.867745689199196,0.03253952171849254,0.8647807812342695,0.02728403459513151,0.9030416951469583,0.043950387418744116,0.8829919079367203,0.02962040014150175,0.833217134356602,0.03669764241962371,0.8633826207038184,0.04348538840139461
0.01,,3.19,rbf,0.5537818681899926,0.0027602783153128888,0.5537818681899926,0.0027602783153128888,1.0,0.0,0.71281397287587,0.002285979388470216,0.0,0.0,0.0,0.0
0.01,2.0,0.1,poly,0.5697662117846186,0.008392878982702492,0.5642681520617933,0.006899061261964516,0.9817156527682844,0.017586380608102487,0.716488841541168,0.002720073929704198,0.07143874434904215,0.04016064973530928,0.20737864594641517,0.09059886319190014
0.01,,0.1,rbf,0.5537818681899926,0.0027602783153128888,0.5537818681899926,0.0027602783153128888,1.0,0.0,0.71281397287587,0.002285979388470216,0.0,0.0,0.0,0.0
0.01,2.0,0.5,poly,0.8502274410240135,0.04390898470031228,0.8458983010273752,0.034756115558458436,0.8925153793574847,0.051175589294340594,0.8682156353145724,0.03911688739463177,0.8088980566713712,0.04716452071056234,0.8451909631450338,0.05764009815126838
0.01,,0.5,rbf,0.601798370887549,0.04976068721059141,0.583706996335469,0.03249763326350068,0.9974025974025974,0.0051948051948051965,0.7358401568539266,0.02485311243493062,0.13176917885224798,0.12987649886876795,0.30021434771123434,0.2613475889637576
0.01,2.0,1.0,poly,0.8517296096477308,0.04870296392991862,0.8492407308604779,0.03400665221466383,0.8900205058099795,0.06173734141978885,0.8686967085618266,0.044840782975645796,0.8141086509808165,0.0456132568067638,0.8461853215786928,0.06481029295531181
0.01,,1.0,rbf,0.5537818681899926,0.0027602783153128888,0.5537818681899926,0.0027602783153128888,1.0,0.0,0.71281397287587,0.002285979388470216,0.0,0.0,0.0,0.0
0.01,3.0,3.19,poly,0.844472654183857,0.02082615596195101,0.846058432560652,0.01192019905735781,0.8794258373205743,0.03771567330703993,0.8620193676114333,0.020367708758078303,0.8091305200150665,0.016826349340489304,0.8349866234558855,0.03226188580941295
0.01,3.0,0.1,poly,0.6105151803660214,0.015708019884261494,0.5896563822006159,0.009220856791848872,0.9764866712235133,0.022320218058075606,0.7351953109744154,0.010650300554241696,0.18674250350646998,0.03142503358298619,0.4471436467197879,0.0519798579153511
